"University Of Texas At Austin","Chemistry","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Just says denied."
"UC San Francisco (UCSF)","Chemistry And Chemical Biology","PhD (F19)","Rejected"," E-mail","19 Dec 2018","","","","","","I","19 Dec 2018","Good luck to those who got invited to the interview!!"
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," Website","19 Dec 2018","  3.90","155","162","4.00","","A","19 Dec 2018",""
"University Of Washington","Chemistry","PhD (F19)","Accepted"," E-mail","19 Dec 2018","  3.54","159","157","4.50","","","19 Dec 2018","MS in organic chem, 2 pubs (one first author), 5 years relevant industry experience."
"University Of Illinois At Urbana-Champaign","Organic Chemistry","PhD (F19)","Accepted"," E-mail","17 Dec 2018","  4.00","161","162","5.00","880","A","19 Dec 2018","1.5 yr ugrad research experience, 3 great LOR, 1 co-author publication, ACS National Meeting presentations, lots of teaching experiences, took 3 grad classes as a ugrad"
"University Of Californa, Los Angeles (UCLA)","Chemistry","PhD (F19)","Accepted"," Phone","19 Dec 2018","  3.08","161","156","5.00","","A","19 Dec 2018","Low undergrad GPA. 3.95 Master's GPA. 3.5 years of research, strong LORs, and a manuscript in preparation. Got a call from POI mentioned in statement."
"University Of Wisconsin-Madison","Chemistry","PhD (F19)","Accepted"," E-mail","19 Dec 2018","  3.50","168","169","5.00","770","A","19 Dec 2018",""
"California Institute Of Technology","Chemistry","PhD (F19)","Accepted"," Phone","19 Dec 2018","  3.50","168","169","5.00","770","A","19 Dec 2018",""
"California Institute Of Technology","Chemistry","PhD (F19)","Accepted"," Phone","19 Dec 2018","","","","","","A","19 Dec 2018","Call from POI that I emailed"
"University Of Toronto","Physical Chemistry","PhD (F19)","Rejected"," E-mail","19 Dec 2018","  3.60","163","157","4.00","","U","19 Dec 2018","1.5 years of organic research - paper in waiting. 0.5 year of computational biophysics research. 2 oral presentations, 3 poster presentations. GRE AW below the wanted 4.5 and GPA not A-. But in Toronto an A- is 80 to 84%, which is around a B in the U.S., so idk if they took that into account. And I'm double majoring in chemistry and physics."
"University Of Californa, Los Angeles (UCLA)","Chemistry","PhD (F19)","Accepted"," Phone","19 Dec 2018","  3.00","156","154","4.50","","A","18 Dec 2018","3.5 years of research, no publications, a few posters at national conferences, 2 REUs at R1 institution"
"University Of Californa, Los Angeles (UCLA)","Chemistry And Biochemistry","PhD (F19)","Accepted"," Phone","18 Dec 2018","  3.90","163","156","4.00","810","A","18 Dec 2018","Received a call from a professor stating acceptance. 3 years research experience, 2 summer REUs. Very strong LORs. First author JACS under review."
"University Of Californa, Los Angeles (UCLA)","Chemistry","PhD (F19)","Accepted"," Phone","18 Dec 2018","  3.86","160","159","4.50","","A","18 Dec 2018",""
"Rice University","Chemistry","PhD (F19)","Accepted"," Phone","8 Dec 2018","","","","","","","17 Dec 2018","Contacted by POI"
"University Of Michigan","Chemistry","PhD (F19)","Accepted"," Phone","17 Dec 2018","","","","","","","17 Dec 2018",""
"University Of Michigan","Chemistry/Physical Chemistry","PhD (F19)","Accepted"," Phone","14 Dec 2018","","","","","","A","17 Dec 2018",""
"University Of Washington","Chemistry","PhD (F19)","Accepted"," Phone","17 Dec 2018","  3.77","153","156","4.00","","A","17 Dec 2018","2 publications, 3 years of research experience, 1 ACS conference, strong LORs. Received a phone call from a professor stating admittance."
"Northwestern University","Chemistry","PhD (F19)","Accepted"," Phone","17 Dec 2018","  3.70","162","168","5.50","760","A","17 Dec 2018","Pchem
Professor noted that emails will come out on Wednesday"
"University Of Texas At Austin","Organic Chemistry","PhD (F19)","Accepted"," E-mail","17 Dec 2018","  3.79","161","162","4.50","710","A","17 Dec 2018","3 years of research, two presentations, no publications, strong rec letters"
"Texas A&M University","Chemistry","PhD (F19)","Accepted"," Phone","14 Dec 2018","  3.90","155","161","4.50","","A","16 Dec 2018",""
"University Of Texas At Austin","Chemistry","PhD (F19)","Accepted"," Phone","13 Dec 2018","  3.90","155","161","4.50","","A","16 Dec 2018",""
"University Of Iowa","Chemistry","PhD (F19)","Accepted"," E-mail","5 Dec 2018","  3.93","160","164","4.50","750","A","16 Dec 2018",""
"University Of Michigan","Medicinal Chemistry","PhD (F19)","Interview"," E-mail","12 Dec 2018","","","","","","A","16 Dec 2018",""
"Texas A&M University","Chemistry","PhD (F19)","Accepted"," Phone","15 Dec 2018","  3.73","156","163","4.00","800","A","15 Dec 2018",""
"University Of Californa, Los Angeles (UCLA)","Chemistry","PhD (F19)","Accepted"," E-mail","15 Dec 2018","  3.50","80","60","80.00","","","15 Dec 2018",""
"University Of Illinois At Urbana Champaign","Chemistry","PhD (F19)","Accepted"," E-mail","14 Dec 2018","","","","","","I","15 Dec 2018","Same poster as below. Guessed confusions might arise with excluding 'Urbana Chmapaign'."
"University Of Illinois","Chemistry","PhD (F19)","Accepted"," E-mail","14 Dec 2018","","","","","","I","15 Dec 2018",""
"University Of Texas At Austin","Physical Chemistry","PhD (F19)","Accepted"," E-mail","14 Dec 2018","  3.78","160","166","4.00","720","U","14 Dec 2018","Offered the Provost's Graduate Excellence Fellowship. 1.5 years of research experience, no publications or presentations, strong group in my field."
"University Of Chicago","Chemistry","PhD (F19)","Accepted"," E-mail","14 Dec 2018","  4.00","170","167","4.50","780","A","14 Dec 2018","No publications yet, sadly, but varied research experiences + TA work."
"Purdue University - West Lafayette","Medicinal Chemistry And Molecular Pharmacology","PhD (F19)","Rejected"," Website","14 Dec 2018","  3.65","152","153","4.50","","U","14 Dec 2018","Rejected Due to reasons I cannot be told."
"University Of Illinois, Urbana-Champaign (UIUC)","Chemistry","PhD (F19)","Accepted"," E-mail","14 Dec 2018","  3.70","162","168","5.50","760","A","14 Dec 2018",""
"Penn State (Pennsylvania State University)","Chemistry","PhD (F19)","Accepted"," E-mail","14 Dec 2018","","","","","","I","14 Dec 2018",""
"University Of Iowa","Chemistry","PhD (F19)","Accepted"," E-mail","14 Dec 2018","","","","","","A","14 Dec 2018",""
"Texas A&M University","Chemistry","PhD (F19)","Accepted"," Phone","14 Dec 2018","  3.88","670","700","0.00","660","A","13 Dec 2018",""
"Penn State (Pennsylvania State University)","Chemistry","PhD (F18)","Accepted"," E-mail","13 Dec 2018","","","","","","I","13 Dec 2018","First admission offer! I am extremely excited. Offered today a few hours after my interview."
"University Of Notre Dame","Chemistry","PhD (F19)","Accepted"," E-mail","4 Dec 2018","","","","","","A","13 Dec 2018",""
"University Of Illinois","Chemistry","PhD (F19)","Accepted"," E-mail","13 Dec 2018","  3.92","158","155","5.50","","A","13 Dec 2018",""
"University Of Michigan","Medicinal Chemistry","PhD (F19)","Interview"," E-mail","12 Dec 2018","","","","","","","13 Dec 2018",""
"Northwestern University","Chemistry","PhD (F19)","Accepted"," E-mail","12 Dec 2018"," ","166","170","5.00","960","I","12 Dec 2018","No publications, broad research experience (semiconductor physics, chemical biology, organic chemistry)"
"Texas A&M University","Chemistry","PhD (F19)","Accepted"," Phone","13 Dec 2018","","","","","","A","12 Dec 2018",""
"University Of Southern California","Chemistry","PhD (F19)","Accepted"," E-mail","12 Dec 2018","  3.86","160","159","4.50","","A","12 Dec 2018","Such a relief, I had been stressing about not getting in anywhere. Emailed directly by professor I had been in contact with before. 1 year research experience, summer internship at major chemical company."
"Notre Dame University","Chemistry","PhD (F19)","Accepted"," E-mail","27 Nov 2018","","","","","","A","12 Dec 2018","Okay GPA. 60th percentile GRE. 3 years research. 2 publications. 2 conferences. 1 REU"
"University Of Michigan","Medicinal Chemistry","PhD (F19)","Interview"," E-mail","12 Dec 2018","","","","","","","12 Dec 2018",""
"Penn State (Pennsylvania State University)","Chemistry","PhD (F19)","Accepted"," E-mail","11 Dec 2018","","","","","","O","12 Dec 2018","U.S. Citizen with International Bachelor's Degree."
"University Of Washington","Chemistry","PhD (F19)","Accepted"," E-mail","12 Dec 2018","  3.92","158","155","5.50","","A","11 Dec 2018","3 years of research experience; 1 first author paper; 3 oral presentations at conferences; notified by the perspective PI"
"University Of Illinois, Chicago (UIC)","Chemistry","PhD (F19)","Accepted"," E-mail","11 Dec 2018","  3.80","151","156","3.00","820","I","11 Dec 2018","Yey! First acceptance letter! Even before application deadline! 4 pubs, but meeeh GRE. Research > test scores, apparently..."
"Penn State (Pennsylvania State University)","Chemistry","PhD (F19)","Accepted"," E-mail","11 Dec 2018","","","","","","A","11 Dec 2018",""
"Pennsylvania State University","Chemistry","PhD (F19)","Interview"," E-mail","10 Dec 2018","","","","","","I","10 Dec 2018",""
"Penn State (Pennsylvania State University)","Chemistry","PhD (F19)","Interview"," E-mail","10 Dec 2018","  3.90","161","162","4.50","880","I","10 Dec 2018",""
"University Of Georgia Athens","Chemistry","PhD (F19)","Accepted"," E-mail","10 Dec 2018","  3.32","152","166","4.50","","A","10 Dec 2018","2 first author papers (one published and one in preparation); 9 oral and poster presentations at local to national conferences; very strong LORs; 3 years of very relevant research; applied to NSF-GRF, NDSEG, and DOE-CSGF."
"UT Austin","Chemistry","PhD (F19)","Accepted"," E-mail","10 Dec 2018","  3.60","157","163","4.00","","U","10 Dec 2018","1 year of organic research experience. Publication in waiting. Half a year of computational biophysics research."
"Rutgers University","Chemistry","PhD (F19)","Interview"," E-mail","5 Dec 2018","  3.97","164","166","4.50","","A","9 Dec 2018",""
"The University Of South Carolina (Columbia)","Agriculture And Environmental Chemistry","Masters (S19)","Interview"," Phone","2 Dec 2018","","","","","","I","1 Dec 2018",""
"University Of Central Florida","Chemistry","Masters (S19)","Accepted"," Website","1 Dec 2018","  2.50","156","158","3.50","","","30 Nov 2018","Finally received an email notifying of a status change. Waiting on one more result. Cutting it close!"
"Wake Forest","Chemistry","PhD (S19)","Accepted"," E-mail","12 Nov 2018","","","","","","A","12 Nov 2018",""
"Dartmouth  College","Organic Chemistry","PhD (S19)","Accepted"," E-mail","25 Sep 2018","  4.00","161","155","4.50","950","","25 Sep 2018",""
"Clemson Univeristy","Analytical Chemistry","PhD (F18)","Accepted"," E-mail","5 Dec 2017","  3.40","146","149","3.00","","A","29 Aug 2018",""
"University Of Texas Rio Grande Valley","Chemistry","Masters (F18)","Accepted"," E-mail","3 Jun 2018","  3.23","144","152","2.50","","I","28 Jul 2018",""
"                              University Of Florida (Gainesville)","Medicinal Chemistry","PhD (F18)","Accepted"," E-mail","21 Jun 2018","  3.70","149","151","4.00","","U","21 Jun 2018",""
"Georgia State University (GSU)","Chemistry (Organic Chemistry)","Masters (F18)","Accepted"," E-mail","15 Jun 2018","  3.80","147","152","3.50","","I","15 Jun 2018","Applied in May and got a notification two weeks later about my status. Admitted with tuition waiver and partial cost of living stipend."
"San Diego State University (SDSU)","Chemistry","Masters (F18)","Accepted"," E-mail","5 Jun 2018"," ","160","170","4.50","","U","5 Jun 2018","Finally updated -_-"
"San Diego State University (SDSU)","Chemistry","Masters (F18)","Other"," Other","2 Jun 2018"," ","160","170","4.50","","U","2 Jun 2018","Anyone else who haven't heard back? No updates since 1/8."
"Michigan State University (MSU)","Chemistry","PhD (F18)","Rejected"," E-mail","21 May 2018","","","","","","I","21 May 2018","Finally! This took them long enough. I already accepted an offer from a different university a few months ago, so meh."
"Michigan State  University (MSU)","Chemistry","PhD (F18)","Rejected"," E-mail","21 May 2018","  3.00","154","158","3.00","660","I","21 May 2018",""
"Miami U Oxford","Chemistry And Biochemistry","PhD (F18)","Rejected"," E-mail","15 May 2018","  2.98","147","158","3.00","","I","16 May 2018","After mailing, they give me the feedback same day."
"University Of Houston","Chemistry","PhD (F18)","Rejected"," E-mail","6 May 2018","  3.50","147","170","3.00","","I","13 May 2018","Though got three direct admissions from three different universities. One is little better than UH. So it's not a problem for me. TOEFL 87 (S18)"
"The University Of Manchester","Chemistry (Organic Chemistry)y (Organic)","PhD (F18)","Accepted"," E-mail","12 May 2018","","","","","","I","12 May 2018","IELTS 6.5 + 3 years research experience + research internship aboard + interview with PI and  got accepted letter 2 weeks later"
"Kent State University","Chemistry","PhD (F18)","Other"," Other","10 May 2018","","","","","","I","10 May 2018","To the poster below who asked about the deadline for the making decision, they didn't give any deadline. Though I informed after one day to the department about my decline."
"McGill University (Montreal, Canada)","Food Science And Agriculture Chemistry","Masters (F18)","Interview"," E-mail","4 May 2018","","","","","","I","4 May 2018","did anyone heard anything from food science?"
"Kent State University","Chemistry","PhD (F18)","Other"," Other","3 May 2018","  3.48","147","167","3.00","","I","3 May 2018","Anyone who has been accepted, can you please write down the deadline you have to make the decision?"
"Louisiana State University ( LSU )","Chemistry","PhD (F18)","Other"," Other","16 Feb 2018","","","","","","I","29 Apr 2018","To the poster below about TA amount. I have been offered 25K total."
"McGill Univerisity","Food Science And Agriculture Chemistry","Masters (F18)","Interview"," E-mail","28 Apr 2018","","","","","","I","28 Apr 2018","To the poster below, did you had an interview before result and can you share your profile please if you don't mind."
